ticker,float_shares,sector
IDYA,5000000,Healthcare
IMMP,8000000,Healthcare
INSM,10000000,Healthcare
IOVA,9500000,Healthcare
IPSC,6000000,Healthcare
ISEE,4500000,Healthcare
ITOS,5500000,Healthcare
JNCE,4000000,Healthcare
KDNY,5000000,Healthcare
KPTI,6500000,Healthcare
KRYS,7000000,Healthcare
LNTH,8500000,Healthcare
LQDA,5000000,Healthcare
MNKD,12000000,Healthcare
MRVI,7500000,Healthcare
MYMD,4000000,Healthcare
NBTX,5000000,Healthcare
NVAX,16000000,Healthcare
OCGN,13000000,Healthcare
ONCO,4500000,Healthcare
OPTN,3500000,Healthcare
ORTX,4000000,Healthcare
PBYI,5500000,Healthcare
PCVX,8000000,Healthcare
PHAT,4500000,Healthcare
PMVP,5000000,Healthcare
PRLD,6000000,Healthcare
PRTK,4500000,Healthcare
PTGX,7000000,Healthcare
PYXS,4000000,Healthcare
QNRX,3500000,Healthcare
RARE,8500000,Healthcare
RCKT,6500000,Healthcare
REPL,5000000,Healthcare
RGLS,4000000,Healthcare
RLMD,3500000,Healthcare
RNLX,4500000,Healthcare
RYTM,7000000,Healthcare
SAGE,9000000,Healthcare
SANA,6000000,Healthcare
SENS,10000000,Healthcare
SINT,3500000,Healthcare
SLDB,4000000,Healthcare
SMMT,5500000,Healthcare
SNGX,4500000,Healthcare
SPPI,7000000,Healthcare
SRPT,11000000,Healthcare
STRO,5000000,Healthcare
STSA,4500000,Healthcare
SURF,4000000,Healthcare
SYRA,3500000,Healthcare
TARS,6000000,Healthcare
TBIO,4500000,Healthcare
TGTX,8000000,Healthcare
THTX,5000000,Healthcare
TMCI,7500000,Healthcare
TVTX,6500000,Healthcare
TYME,4000000,Healthcare
URGN,5500000,Healthcare
VERA,6000000,Healthcare
VERO,4500000,Healthcare
VNRX,5000000,Healthcare
VTAK,4000000,Healthcare
VVOS,3500000,Healthcare
WINT,4500000,Healthcare
XCUR,3500000,Healthcare
XENE,6000000,Healthcare
XFOR,4500000,Healthcare
XOMA,5000000,Healthcare
YMAB,5500000,Healthcare
ZEAL,6500000,Healthcare
ZLAB,9000000,Healthcare
ZNTL,5000000,Healthcare
ABEO,4000000,Healthcare
ABSI,5500000,Healthcare
ACCD,8000000,Healthcare
ACET,4500000,Healthcare
ACHC,10000000,Healthcare
ACRS,4000000,Healthcare
ADAP,6500000,Healthcare
ADCT,7000000,Healthcare
ADIL,4500000,Healthcare
ADMA,9000000,Healthcare
ADMP,3500000,Healthcare
ADTX,3000000,Healthcare
ADVM,4500000,Healthcare
ADXS,5000000,Healthcare
AEYE,3500000,Healthcare
AFIB,4000000,Healthcare
AFYA,7500000,Healthcare
AGLE,4000000,Healthcare
AGTC,3500000,Healthcare
AGYS,5000000,Technology
AHCO,6500000,Healthcare
AIMD,3500000,Technology
AIRG,4000000,Technology
AIXI,3500000,Technology
AKBA,5000000,Healthcare
AKCA,4500000,Healthcare
AKLI,3500000,Healthcare
AKTS,4000000,Technology
AKUS,4500000,Healthcare
ALEC,5000000,Healthcare
ALGT,8000000,Industrials
ALLK,5500000,Healthcare
ALOT,4000000,Technology
ALRS,3500000,Healthcare
ALRM,6000000,Technology
ALSA,4000000,Healthcare
ATRC,7000000,Healthcare
ATXI,4000000,Healthcare
MAPS,8500000,Healthcare
BODY,6000000,Consumer
BKKT,9000000,Technology
BLNK,11000000,Technology
BLTE,5500000,Healthcare
CLOV,13000000,Healthcare
FFIE,12000000,Consumer
FROG,8000000,Technology
GEVO,10000000,Energy
GFAI,4000000,Technology
GLUE,5000000,Healthcare
GNLN,6000000,Consumer
GOSS,4500000,Healthcare
HPNN,3500000,Technology
HUDI,4000000,Consumer
IDAI,3500000,Technology
IMAG,4000000,Healthcare
IMPP,9000000,Energy
IMVX,4500000,Healthcare
INAB,4000000,Healthcare
INFU,5000000,Healthcare
INMD,7500000,Healthcare
INPX,5500000,Technology
JZXN,4000000,Healthcare
LKCO,5000000,Technology
LPCN,4000000,Healthcare
LSCC,9000000,Technology
LUNA,6000000,Technology
MDJH,4000000,Technology
MGOL,3500000,Technology
MTCN,4500000,Technology
MXCT,4000000,Healthcare
MYNZ,4500000,Healthcare
NRCG,5000000,Technology
NRXP,4000000,Healthcare
NTRB,3500000,Technology
NVGS,6000000,Energy
NXGN,7000000,Technology
OCEA,4000000,Healthcare
OPEN,12000000,Technology
PASG,4500000,Healthcare
PEAK,8000000,Healthcare
PLUR,4000000,Consumer
PXMD,3500000,Healthcare
RDFN,10000000,Technology
RELI,4000000,Finance
RKLY,4500000,Technology
RMBL,5000000,Technology
RPRX,11000000,Healthcare
RVSB,5000000,Finance
SDCL,4500000,Consumer
SHOT,5000000,Consumer
SLNX,4000000,Technology
SMFL,3500000,Finance
SNTG,4000000,Healthcare
SXTC,3500000,Consumer
TBRG,4000000,Finance
TTGT,7000000,Technology
UAVS,5000000,Technology
UCTT,6500000,Technology
ULCC,8000000,Industrials
VIAC,14000000,Consumer
VNET,11000000,Technology
VRAY,5000000,Healthcare
VRPX,4000000,Healthcare
VRSK,9000000,Technology
WKHS,9000000,Consumer
WLDS,4500000,Technology
XXII,6000000,Consumer
YRIV,4000000,Technology
ZAPP,3500000,Technology
AEIS,7000000,Technology
AFRI,4000000,Finance
AGBA,5000000,Finance
AGCO,10000000,Industrials
AGFS,5500000,Technology
AGMH,3500000,Finance
AGTI,5000000,Healthcare
AHPI,4000000,Healthcare
AIRC,8000000,Finance
AJTX,4000000,Healthcare
AKAM,12000000,Technology
ALAB,9000000,Technology
ALBT,4000000,Healthcare
ALCE,3500000,Healthcare
ALCO,5000000,Consumer
ALIT,7000000,Technology
ALKT,5500000,Technology
ALTO,8000000,Consumer
ATMP,4000000,Healthcare
BIIB,13000000,Healthcare
BMRN,11000000,Healthcare
BNOX,4000000,Healthcare
BSGM,4500000,Healthcare
CHKP,10000000,Technology
CHRS,5000000,Healthcare
CNTB,4000000,Healthcare
CTLT,9000000,Healthcare
DOSE,3500000,Healthcare
EDBL,4000000,Consumer
ELST,4000000,Technology
EVTL,6000000,Technology
OMIC,5500000,Healthcare
AAON,7000000,Industrials
ACNB,4500000,Finance
ACVA,6000000,Technology
ADPT,8000000,Technology
ADUS,5000000,Healthcare
AEAC,4000000,Finance
AGCB,3500000,Finance
BIGC,8500000,Technology
